epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.50308,1.18365,1,1,0.31897,0.000348549,0.000348549,0.000348549
2,2.66153,0.31164,1,1,0.00381,0.000704648,0.000704648,0.000704648
3,3.60275,0.06963,1,1,0.01502,0.00104608,0.00104608,0.00104608
4,4.52188,0.0793,1,1,0.00011,0.00104501,0.00104501,0.00104501
5,5.43393,0.06884,1,1,3e-05,0.00102301,0.00102301,0.00102301
6,6.30889,0.04709,1,1,3e-05,0.00100101,0.00100101,0.00100101
7,7.24437,0.05307,1,1,0.00072,0.000979013,0.000979013,0.000979013
8,8.16996,0.17091,1,1,0.00011,0.000957015,0.000957015,0.000957015
9,9.07092,0.08153,1,1,2e-05,0.000935018,0.000935018,0.000935018
10,9.98868,0.05899,1,1,0.00121,0.00091302,0.00091302,0.00091302
11,10.8845,0.05325,1,1,0.0003,0.000891022,0.000891022,0.000891022
12,11.8059,0.18033,1,1,4e-05,0.000869024,0.000869024,0.000869024
13,12.7164,0.01509,1,1,3e-05,0.000847026,0.000847026,0.000847026
14,13.6294,0.03374,1,1,1e-05,0.000825029,0.000825029,0.000825029
15,14.5382,0.0266,1,1,0,0.000803031,0.000803031,0.000803031
16,15.4394,0.03031,1,1,0,0.000781033,0.000781033,0.000781033
17,16.3662,0.03113,1,1,0,0.000759035,0.000759035,0.000759035
18,17.2979,0.02495,1,1,0,0.000737037,0.000737037,0.000737037
19,18.2385,0.0179,1,1,2e-05,0.00071504,0.00071504,0.00071504
20,19.1374,0.0335,1,1,1e-05,0.000693042,0.000693042,0.000693042
21,20.0549,0.02977,1,1,0,0.000671044,0.000671044,0.000671044
22,20.9528,0.03518,1,1,0,0.000649046,0.000649046,0.000649046
23,21.8842,0.03848,1,1,2e-05,0.000627048,0.000627048,0.000627048
24,22.8304,0.06431,1,1,0.00032,0.000605051,0.000605051,0.000605051
25,23.7601,0.01972,1,1,0.0007,0.000583053,0.000583053,0.000583053
26,24.664,0.05358,1,1,0.00024,0.000561055,0.000561055,0.000561055
27,25.6252,0.03893,1,1,0.00011,0.000539057,0.000539057,0.000539057
28,26.5613,0.01828,1,1,0.00021,0.000517059,0.000517059,0.000517059
29,27.5615,0.00879,1,1,0.00011,0.000495062,0.000495062,0.000495062
30,28.4745,0.0711,1,1,4e-05,0.000473064,0.000473064,0.000473064
31,29.3916,0.00948,1,1,2e-05,0.000451066,0.000451066,0.000451066
32,30.286,0.01225,1,1,2e-05,0.000429068,0.000429068,0.000429068
33,31.1914,0.01181,1,1,2e-05,0.00040707,0.00040707,0.00040707
34,32.0858,0.02341,1,1,2e-05,0.000385073,0.000385073,0.000385073
35,33.021,0.03881,1,1,2e-05,0.000363075,0.000363075,0.000363075
36,33.9256,0.00597,1,1,4e-05,0.000341077,0.000341077,0.000341077
37,34.8471,0.0829,1,1,3e-05,0.000319079,0.000319079,0.000319079
38,35.7553,0.00572,1,1,2e-05,0.000297081,0.000297081,0.000297081
39,36.6672,0.00695,1,1,2e-05,0.000275084,0.000275084,0.000275084
40,37.5758,0.00227,1,1,1e-05,0.000253086,0.000253086,0.000253086
41,59.4958,0.03869,1,1,1e-05,0.000231088,0.000231088,0.000231088
42,60.372,0.00497,1,1,2e-05,0.00020909,0.00020909,0.00020909
43,61.2861,0.00857,1,1,1e-05,0.000187092,0.000187092,0.000187092
44,62.1539,0.00339,1,1,2e-05,0.000165095,0.000165095,0.000165095
45,63.0404,0.00559,1,1,2e-05,0.000143097,0.000143097,0.000143097
46,63.9198,0.00576,1,1,2e-05,0.000121099,0.000121099,0.000121099
47,64.824,0.00169,1,1,1e-05,9.91012e-05,9.91012e-05,9.91012e-05
48,65.7113,0.0025,1,1,1e-05,7.71034e-05,7.71034e-05,7.71034e-05
49,66.6068,0.0052,1,1,1e-05,5.51056e-05,5.51056e-05,5.51056e-05
50,67.5129,0.00496,1,1,1e-05,3.31078e-05,3.31078e-05,3.31078e-05
